id,billing_date,billing_id,billing_document,billing_type,customer_number,sku,net_weight,weight_unit,country_code,country_name
791,2025-01-06,986,99,F2 (Invoice),519,34629,179.31034482758622,kg (Kilogram),CN,China
792,2025-01-06,986,99,F2 (Invoice),519,34629,0.0,kg (Kilogram),CN,China
793,2025-01-06,986,99,F2 (Invoice),519,31979,172.41379310344828,kg (Kilogram),CN,China
794,2025-01-06,986,99,F2 (Invoice),519,31979,0.0,kg (Kilogram),CN,China
795,2025-01-06,986,99,F2 (Invoice),519,31979,0.0,kg (Kilogram),CN,China
796,2025-01-06,986,99,F2 (Invoice),519,30735,30.17241379310345,kg (Kilogram),CN,China
797,2025-01-06,986,99,F2 (Invoice),519,30735,0.0,kg (Kilogram),CN,China
798,2025-01-06,986,99,F2 (Invoice),519,34594,155.17241379310346,kg (Kilogram),CN,China
799,2025-01-06,986,99,F2 (Invoice),519,34594,0.0,kg (Kilogram),CN,China
800,2025-01-06,986,99,F2 (Invoice),291,34888,189.6551724137931,kg (Kilogram),CN,China
801,2025-01-06,986,99,F2 (Invoice),291,34888,0.0,kg (Kilogram),CN,China
802,2025-01-06,986,99,F2 (Invoice),291,30266,344.82758620689657,kg (Kilogram),CN,China
803,2025-01-06,986,99,F2 (Invoice),291,30266,0.0,kg (Kilogram),CN,China
804,2025-01-06,986,99,F2 (Invoice),519,33781,103.44827586206897,kg (Kilogram),CN,China
805,2025-01-06,986,99,F2 (Invoice),519,33781,0.0,kg (Kilogram),CN,China
806,2025-01-06,986,99,F2 (Invoice),519,34594,77.58620689655173,kg (Kilogram),CN,China
807,2025-01-06,986,99,F2 (Invoice),519,34594,0.0,kg (Kilogram),CN,China
808,2025-01-06,986,99,F2 (Invoice),519,30735,120.6896551724138,kg (Kilogram),CN,China
809,2025-01-06,986,99,F2 (Invoice),519,30735,0.0,kg (Kilogram),CN,China
810,2025-01-06,986,99,F2 (Invoice),416,29812,32.58620689655172,kg (Kilogram),CN,China
811,2025-01-06,986,99,F2 (Invoice),416,29812,0.0,kg (Kilogram),CN,China
812,2025-01-06,986,99,F2 (Invoice),416,32886,93.10344827586206,kg (Kilogram),CN,China
813,2025-01-06,986,99,F2 (Invoice),416,32886,0.0,kg (Kilogram),CN,China
814,2025-01-06,986,99,F2 (Invoice),416,29831,41.37931034482759,kg (Kilogram),CN,China
815,2025-01-06,986,99,F2 (Invoice),416,29831,0.0,kg (Kilogram),CN,China
816,2025-01-06,986,99,F2 (Invoice),416,29831,0.0,kg (Kilogram),CN,China
817,2025-01-06,986,99,F2 (Invoice),416,30152,23.275862068965516,kg (Kilogram),CN,China
818,2025-01-06,986,99,F2 (Invoice),416,30152,0.0,kg (Kilogram),CN,China
819,2025-01-06,986,99,F2 (Invoice),416,30277,20.689655172413794,kg (Kilogram),CN,China
820,2025-01-06,986,99,F2 (Invoice),416,30277,0.0,kg (Kilogram),CN,China
821,2025-01-06,986,99,F2 (Invoice),416,29766,1.7241379310344829,kg (Kilogram),CN,China
822,2025-01-06,986,99,F2 (Invoice),416,29766,0.0,kg (Kilogram),CN,China
823,2025-01-06,986,99,F2 (Invoice),416,29803,17.06896551724138,kg (Kilogram),CN,China
